Description,Model,Position,Packaga,Qty
Antenna,3D Antenna,ANT1,PRO-ANT-440,1
Capacitor,1.5PF,"C1, C3",SMT_C_0402,2
Capacitor,10uF/6.3V,"C2, C4, C5, C24, C25, C28, C30, C32, C35, C36, C38, C39, C40, C41, C42",SMT_C_0603,15
Capacitor,100pF,C7,SMT_C_0402,1
Capacitor,1uF,"C8, C10, C14, C22, C23, C26, C27, C34",SMT_C_0402,8
Capacitor,100nF,"C9, C11, C15, C33, C37",SMT_C_0402,5
Capacitor,22pF,"C16, C17",SMT_C_0402,2
Capacitor,3.3nF,C19,SMT_C_0402,1
Capacitor,10nF,C20,SMT_C_0402,1
Capacitor,10uF,"C21, C29",SMT_C_0402,2
Capacitor,1nF,C31,SMT_C_0402,1
Fuse,2A,FUSE1,SMT_FUSE_0805,1
Inductor,2.2uH/3015/WPN,L2,SMT_L_3.0mm,1
Resistor,2K,R1,SMT_R_0402,1
Resistor,10K,"R2, R4, R13, R14, R17, R18, R20, R22, R24, R26, R27, R28, R29, R30, R32, R33",SMT_R_0402,16
Resistor,2.2K,R12,SMT_R_0402,1
Resistor,200R,"R7, R8",SMT_R_0402,2
Resistor,20K,R9,SMT_R_0402,1
Resistor,NTC/10K/1%,R10,SMT_R_0402,1
Resistor,4.7R,R11,SMT_R_0402,1
Resistor,200K,R15,SMT_R_0402,1
Resistor,0R,R16,SMT_R_0402,1
Resistor,5.1K,"R19, R21",SMT_R_0402,2
Resistor,22R,"R23, R25",SMT_R_0402,2
Button,SMT_SW_TS_020 中乌龟,S2,SMT_SW_TS_020,1
Button,SMT_SW_PTS_820 3x4x2.5,S3,SMT_SW_PTS_820,1
IC,ESP32,U1,PQFN40P600X600X90_HS-49N,1
IC,EspPSRAM,U2,SOP-8,1
IC,W25Qxx,U3,WSOP-8,1
IC,AXP192,U4,PQFN40P600X600X90_HS-49N,1
Socket,TYPEC_16P,U5,USB_TYPEC_16P,1
IC,CP2104,U6,QFN50P401X400X90_HS-25N,1
FPC Socket,OV-Camera,U7,FPC0.5-SMT-24P-B-DRAWER,1
Triode,NPN-S8050,"VT1, VT2",NPN-S8050,2
CRYSTAL,40Mhz/+-10ppm/22pF,X1,SMT_XTAL_2520,1
Encoder,Header 5,Coder1,CODER_1,1
Diode,LESD3Z5.0CMT1G,"D1, D2",SMT_DIODE_SOD_323,2
Diode,ESD/3.3V,"D3, D4, D5, D6, D7, D8, D9",SMT_DIODE_SOD_523,7
Inductor,1.8nH/HQ,L1,SMT_L_0402,1
IPS Display,ZJY_IPS_1_14_LCD,J2,ZJY_1.3_HZ_13Pin,1